constituency,polling_booth,votes_cast,turnout_percentage,NOTA_votes,timestamp
Pune-2,C0006-B018,692,57.16,27,2024-05-13T13:17:00
Pune-2,C0006-B019,608,63.12,28,2024-05-13T12:45:00
Pune-2,C0006-B020,692,60.17,20,2024-05-13T08:47:00
Pune-2,C0006-B021,498,60.63,3,2024-05-13T11:22:00
Pune-2,C0006-B022,543,53.03,27,2024-05-13T08:35:00
Pune-2,C0006-B023,1051,69.32,56,2024-05-13T13:08:00
Pune-2,C0006-B024,1058,85.95,7,2024-05-13T17:24:00
Pune-2,C0006-B025,722,68.72,10,2024-05-13T08:23:00
Pune-2,C0006-B026,630,55.99,15,2024-05-13T17:53:00
Pune-2,C0006-B027,422,66.45,3,2024-05-13T07:02:00
Pune-2,C0006-B028,864,58.09,27,2024-05-13T11:34:00
Pune-2,C0006-B029,576,58.5,5,2024-05-13T17:31:00
Pune-2,C0006-B030,794,58.88,21,2024-05-13T09:36:00
Pune-2,C0006-B031,633,64.52,26,2024-05-13T13:00:00
Pune-2,C0006-B032,478,58.95,22,2024-05-13T17:55:00
Pune-2,C0006-B033,696,62.72,12,2024-05-13T11:23:00
Pune-2,C0006-B034,804,60.15,36,2024-05-13T11:37:00
Pune-2,C0006-B035,773,64.28,40,2024-05-13T07:39:00
Pune-3,C0007-B001,361,59.05,12,2024-05-13T17:57:00
Pune-3,C0007-B002,547,61.77,6,2024-05-13T08:44:00
Pune-3,C0007-B003,1104,78.87,34,2024-05-13T11:36:00
Pune-3,C0007-B004,752,52.68,10,2024-05-13T12:11:00
Pune-3,C0007-B005,513,64.78,23,2024-05-13T07:16:00
Pune-3,C0007-B006,688,58.71,13,2024-05-13T14:38:00
Pune-3,C0007-B007,785,63.16,30,2024-05-13T12:22:00
Pune-3,C0007-B008,596,60.66,22,2024-05-13T12:39:00
Pune-3,C0007-B009,561,51.08,11,2024-05-13T15:04:00
Pune-3,C0007-B010,699,56.44,10,2024-05-13T12:11:00
Pune-3,C0007-B011,744,57.84,20,2024-05-13T12:44:00
Pune-3,C0007-B012,642,55.83,34,2024-05-13T13:33:00
Pune-3,C0007-B013,1004,69.65,55,2024-05-13T13:17:00
Pune-3,C0007-B014,509,55.6,9,2024-05-13T10:22:00
Pune-3,C0007-B015,414,54.8,16,2024-05-13T07:53:00
Pune-3,C0007-B016,722,64.8,12,2024-05-13T10:06:00
Pune-3,C0007-B017,727,52.18,35,2024-05-13T17:15:00
Pune-3,C0007-B018,997,62.08,41,2024-05-13T14:28:00
Pune-3,C0007-B019,514,41.43,3,2024-05-13T09:32:00
Pune-3,C0007-B020,421,45.9,5,2024-05-13T16:27:00
Pune-3,C0007-B021,463,54.48,21,2024-05-13T15:21:00
Pune-3,C0007-B022,484,60.39,28,2024-05-13T14:06:00
Pune-3,C0007-B023,603,45.69,28,2024-05-13T14:36:00
Pune-3,C0007-B024,614,69.55,25,2024-05-13T15:01:00
Pune-3,C0007-B025,620,56.22,13,2024-05-13T11:42:00
Pune-3,C0007-B026,471,51.51,12,2024-05-13T09:57:00
Pune-3,C0007-B027,678,60.41,17,2024-05-13T15:15:00
Pune-3,C0007-B028,488,47.66,28,2024-05-13T11:08:00
Pune-3,C0007-B029,643,58.83,7,2024-05-13T09:44:00
Pune-3,C0007-B030,629,54.44,13,2024-05-13T16:26:00
Pune-3,C0007-B031,645,66.2,27,2024-05-13T17:23:00
Pune-3,C0007-B032,650,59.05,26,2024-05-13T12:36:00
Pune-3,C0007-B033,645,49.01,33,2024-05-13T08:30:00
Pune-3,C0007-B034,951,69.89,44,2024-05-13T15:55:00
Pune-3,C0007-B035,861,67.32,10,2024-05-13T14:45:00
Pune-4,C0008-B001,683,53.43,36,2024-05-13T08:51:00
Pune-4,C0008-B002,856,57.18,44,2024-05-13T11:13:00
Pune-4,C0008-B003,804,58.71,12,2024-05-13T14:55:00
Pune-4,C0008-B004,875,54.56,44,2024-05-13T16:07:00
Pune-4,C0008-B005,837,62.87,20,2024-05-13T16:40:00
Pune-4,C0008-B006,511,57.11,27,2024-05-13T07:31:00
Pune-4,C0008-B007,1096,77.26,21,2024-05-13T09:44:00
Pune-4,C0008-B008,722,76.98,19,2024-05-13T08:31:00
Pune-4,C0008-B009,661,59.69,16,2024-05-13T10:55:00
Pune-4,C0008-B010,615,47.11,32,2024-05-13T12:33:00
Pune-4,C0008-B011,616,57.27,25,2024-05-13T13:32:00
Pune-4,C0008-B012,645,63.6,10,2024-05-13T16:01:00
Pune-4,C0008-B013,313,53.2,5,2024-05-13T15:16:00
Pune-4,C0008-B014,450,61.58,26,2024-05-13T11:47:00
Pune-4,C0008-B015,491,46.17,7,2024-05-13T11:36:00
Pune-4,C0008-B016,748,59.91,10,2024-05-13T08:19:00
Pune-4,C0008-B017,673,59.28,19,2024-05-13T08:18:00
Pune-4,C0008-B018,409,53.06,16,2024-05-13T14:54:00
Pune-4,C0008-B019,630,63.01,14,2024-05-13T11:53:00
Pune-4,C0008-B020,691,62.55,36,2024-05-13T07:06:00
Pune-4,C0008-B021,647,59.11,20,2024-05-13T17:51:00
Pune-4,C0008-B022,437,58.99,26,2024-05-13T16:25:00
Pune-4,C0008-B023,749,54.1,4,2024-05-13T11:26:00
Pune-4,C0008-B024,741,55.9,37,2024-05-13T07:00:00
Pune-4,C0008-B025,511,54.87,4,2024-05-13T09:03:00
Pune-4,C0008-B026,405,55.36,10,2024-05-13T16:38:00
Pune-4,C0008-B027,429,39.7,4,2024-05-13T17:29:00
Pune-4,C0008-B028,466,53.77,10,2024-05-13T08:48:00
Pune-4,C0008-B029,536,59.26,6,2024-05-13T07:46:00
Pune-4,C0008-B030,497,49.94,17,2024-05-13T07:51:00
Pune-4,C0008-B031,760,75.34,10,2024-05-13T16:23:00
Pune-4,C0008-B032,716,64.28,40,2024-05-13T17:00:00
Pune-4,C0008-B033,748,65.34,15,2024-05-13T10:10:00
Pune-4,C0008-B034,375,61.73,5,2024-05-13T14:36:00
Pune-4,C0008-B035,387,58.14,18,2024-05-13T15:08:00
Nagpur-1,C0009-B001,620,59.04,17,2024-05-13T07:26:00
Nagpur-1,C0009-B002,552,54.39,8,2024-05-13T11:18:00
Nagpur-1,C0009-B003,853,71.87,9,2024-05-13T17:47:00
Nagpur-1,C0009-B004,525,55.17,20,2024-05-13T09:06:00
Nagpur-1,C0009-B005,720,62.05,35,2024-05-13T07:45:00
Nagpur-1,C0009-B006,806,60.81,19,2024-05-13T08:38:00
Nagpur-1,C0009-B007,517,51.67,6,2024-05-13T09:09:00
Nagpur-1,C0009-B008,816,62.09,31,2024-05-13T14:39:00
Nagpur-1,C0009-B009,514,51.88,15,2024-05-13T15:48:00
Nagpur-1,C0009-B010,824,59.5,5,2024-05-13T14:35:00
Nagpur-1,C0009-B011,598,52.93,10,2024-05-13T11:15:00
Nagpur-1,C0009-B012,550,55.05,5,2024-05-13T17:01:00
Nagpur-1,C0009-B013,469,54.21,10,2024-05-13T17:11:00
Nagpur-1,C0009-B014,669,57.18,35,2024-05-13T13:05:00
Nagpur-1,C0009-B015,637,63.98,35,2024-05-13T10:36:00
Nagpur-1,C0009-B016,521,55.65,29,2024-05-13T15:07:00
Nagpur-1,C0009-B017,650,62.13,11,2024-05-13T15:10:00
Nagpur-1,C0009-B018,282,40.68,16,2024-05-13T11:53:00
Nagpur-1,C0009-B019,674,53.8,24,2024-05-13T15:23:00
Nagpur-1,C0009-B020,594,64.35,30,2024-05-13T10:59:00
Nagpur-1,C0009-B021,564,49.73,25,2024-05-13T15:51:00
Nagpur-1,C0009-B022,660,67.65,17,2024-05-13T14:24:00
Nagpur-1,C0009-B023,532,56.84,21,2024-05-13T09:03:00
Nagpur-1,C0009-B024,492,62.53,10,2024-05-13T15:14:00
Nagpur-1,C0009-B025,527,58.24,28,2024-05-13T12:46:00
Nagpur-1,C0009-B026,480,47.01,5,2024-05-13T09:15:00
Nagpur-1,C0009-B027,644,50.92,32,2024-05-13T13:03:00
Nagpur-1,C0009-B028,656,52.61,29,2024-05-13T15:28:00
Nagpur-1,C0009-B029,541,78.47,22,2024-05-13T07:45:00
Nagpur-1,C0009-B030,519,50.82,25,2024-05-13T13:34:00
Nagpur-1,C0009-B031,735,54.27,17,2024-05-13T16:33:00
Nagpur-1,C0009-B032,694,57.01,10,2024-05-13T11:44:00
Nagpur-1,C0009-B033,690,59.08,27,2024-05-13T09:09:00
Nagpur-1,C0009-B034,698,64.72,24,2024-05-13T16:26:00
Nagpur-1,C0009-B035,693,56.4,30,2024-05-13T17:13:00
Nagpur-2,C0010-B001,706,59.92,15,2024-05-13T12:51:00
Nagpur-2,C0010-B002,679,57.76,17,2024-05-13T13:47:00
Nagpur-2,C0010-B003,899,78.78,42,2024-05-13T13:30:00
Nagpur-2,C0010-B004,956,66.82,36,2024-05-13T12:23:00
Nagpur-2,C0010-B005,405,63.33,6,2024-05-13T15:51:00
Nagpur-2,C0010-B006,567,61.85,23,2024-05-13T11:48:00
Nagpur-2,C0010-B007,688,54.45,38,2024-05-13T17:08:00
Nagpur-2,C0010-B008,611,67.09,4,2024-05-13T12:13:00
Nagpur-2,C0010-B009,812,68.93,25,2024-05-13T07:56:00
Nagpur-2,C0010-B010,1027,86.92,18,2024-05-13T12:19:00
Nagpur-2,C0010-B011,748,60.4,11,2024-05-13T12:33:00
Nagpur-2,C0010-B012,597,62.83,6,2024-05-13T07:24:00
Nagpur-2,C0010-B013,603,62.04,31,2024-05-13T09:53:00
Nagpur-2,C0010-B014,607,62.11,22,2024-05-13T13:16:00
Nagpur-2,C0010-B015,613,59.64,15,2024-05-13T08:05:00
Nagpur-2,C0010-B016,839,63.48,36,2024-05-13T10:08:00
Nagpur-2,C0010-B017,274,57.75,12,2024-05-13T10:06:00
Nagpur-2,C0010-B018,719,65.85,27,2024-05-13T13:00:00
Nagpur-2,C0010-B019,666,66.09,23,2024-05-13T12:39:00
Nagpur-2,C0010-B020,501,67.84,4,2024-05-13T14:30:00
Nagpur-2,C0010-B021,552,48.28,20,2024-05-13T15:25:00
Nagpur-2,C0010-B022,817,63.67,44,2024-05-13T13:51:00
Nagpur-2,C0010-B023,560,58.39,30,2024-05-13T15:21:00
Nagpur-2,C0010-B024,571,58.7,26,2024-05-13T12:12:00
Nagpur-2,C0010-B025,680,60.57,15,2024-05-13T12:09:00
Nagpur-2,C0010-B026,624,61.2,29,2024-05-13T11:40:00
Nagpur-2,C0010-B027,709,67.6,38,2024-05-13T07:57:00
Nagpur-2,C0010-B028,779,61.53,39,2024-05-13T08:28:00
Nagpur-2,C0010-B029,677,47.96,38,2024-05-13T10:01:00
Nagpur-2,C0010-B030,842,66.43,47,2024-05-13T09:15:00
Nagpur-2,C0010-B031,689,61.83,18,2024-05-13T10:06:00
Nagpur-2,C0010-B032,666,67.21,19,2024-05-13T16:33:00
Nagpur-2,C0010-B033,621,66.94,16,2024-05-13T13:41:00
Nagpur-2,C0010-B034,745,58.99,6,2024-05-13T10:17:00
Nagpur-2,C0010-B035,527,60.54,14,2024-05-13T07:37:00
Nagpur-3,C0011-B001,1005,68.43,28,2024-05-13T14:42:00
Nagpur-3,C0011-B002,748,71.6,32,2024-05-13T14:16:00
Nagpur-3,C0011-B003,765,67.61,21,2024-05-13T12:31:00
Nagpur-3,C0011-B004,709,57.43,34,2024-05-13T16:30:00
Nagpur-3,C0011-B005,430,74.15,25,2024-05-13T14:40:00
Nagpur-3,C0011-B006,711,65.54,6,2024-05-13T13:02:00
Nagpur-3,C0011-B007,753,72.11,37,2024-05-13T13:08:00
Nagpur-3,C0011-B008,758,68.87,15,2024-05-13T12:09:00
Nagpur-3,C0011-B009,689,77.52,8,2024-05-13T10:16:00
Nagpur-3,C0011-B010,495,65.18,6,2024-05-13T10:39:00
Nagpur-3,C0011-B011,459,56.95,24,2024-05-13T12:03:00
Nagpur-3,C0011-B012,781,67.35,16,2024-05-13T09:01:00
Nagpur-3,C0011-B013,706,65.56,27,2024-05-13T11:42:00
Nagpur-3,C0011-B014,749,63.16,21,2024-05-13T12:53:00
Nagpur-3,C0011-B015,889,68.65,48,2024-05-13T10:41:00
Nagpur-3,C0011-B016,291,66.57,5,2024-05-13T17:32:00
Nagpur-3,C0011-B017,515,69.88,10,2024-05-13T11:27:00
Nagpur-3,C0011-B018,955,85.01,9,2024-05-13T08:41:00
Nagpur-3,C0011-B019,471,65.09,10,2024-05-13T07:57:00
Nagpur-3,C0011-B020,865,67.89,47,2024-05-13T07:04:00
Nagpur-3,C0011-B021,701,68.16,13,2024-05-13T11:56:00
Nagpur-3,C0011-B022,792,67.7,27,2024-05-13T11:27:00
Nagpur-3,C0011-B023,997,60.38,17,2024-05-13T12:58:00
Nagpur-3,C0011-B024,782,67.43,30,2024-05-13T11:04:00
Nagpur-3,C0011-B025,684,67.63,16,2024-05-13T11:44:00
Nagpur-3,C0011-B026,895,63.07,32,2024-05-13T10:45:00
Nagpur-3,C0011-B027,701,75.28,22,2024-05-13T09:52:00
Nagpur-3,C0011-B028,735,64.71,21,2024-05-13T17:38:00
Nagpur-3,C0011-B029,1017,76.38,37,2024-05-13T14:53:00
Nagpur-3,C0011-B030,737,68.39,19,2024-05-13T16:32:00
Nagpur-3,C0011-B031,598,64.05,32,2024-05-13T17:37:00
Nagpur-3,C0011-B032,728,62.61,31,2024-05-13T10:00:00
Nagpur-3,C0011-B033,448,59.61,10,2024-05-13T12:24:00
Nagpur-3,C0011-B034,607,62.71,35,2024-05-13T11:31:00
Nagpur-3,C0011-B035,741,63.73,13,2024-05-13T14:29:00
Nagpur-4,C0012-B001,672,58.8,28,2024-05-13T07:42:00
Nagpur-4,C0012-B002,732,58.62,37,2024-05-13T07:20:00
Nagpur-4,C0012-B003,674,63.98,8,2024-05-13T17:29:00
Nagpur-4,C0012-B004,508,59.65,19,2024-05-13T12:59:00
Nagpur-4,C0012-B005,536,57.98,8,2024-05-13T11:31:00
Nagpur-4,C0012-B006,492,59.58,13,2024-05-13T17:44:00
Nagpur-4,C0012-B007,938,74.4,8,2024-05-13T10:29:00
Nagpur-4,C0012-B008,753,68.05,39,2024-05-13T16:17:00
Nagpur-4,C0012-B009,773,57.41,6,2024-05-13T14:43:00
